adolescente_id,age,gender
220,14,Male
221,14,Male
222,19,Female
223,19,Female
224,14,Female
225,18,Female
226,19,Male
227,14,Male
228,13,Male
229,19,Male
230,16,Male
231,17,Male
232,14,Female
233,14,Male
234,18,Male
235,13,Male
236,16,Male
237,18,Male
238,19,Male
239,16,Female
240,17,Female
241,14,Female
242,19,Male
243,19,Female
244,16,Female
245,14,Female
246,17,Male
247,13,Female
248,18,Male
249,16,Male
250,19,Male
251,13,Female
252,13,Male
253,13,Male
254,17,Female
255,19,Male
256,19,Female
257,18,Male
258,14,Male
259,17,Female
260,17,Male
261,16,Male
262,13,Female
263,15,Male
264,17,Female
265,19,Male
266,18,Male
267,14,Female
268,16,Male
269,19,Male
270,19,Male
271,16,Male
272,16,Male
273,19,Male
274,14,Female
275,19,Female
276,16,Male
277,13,Male
278,18,Female
279,17,Female
280,14,Female
281,13,Male
282,16,Male
283,19,Female
284,14,Female
285,14,Female
286,17,Male
287,14,Female
288,13,Female
289,17,Male
290,19,Male
291,14,Male
292,13,Male
293,16,Male
294,15,Female
295,17,Female
296,13,Male
297,19,Male
298,17,Female
299,13,Male
300,17,Female
301,13,Male
302,14,Female
303,14,Female
304,13,Male
305,15,Female
306,14,Male
307,15,Male
308,17,Male
309,14,Female
310,15,Female
311,13,Female
312,19,Male
313,19,Female
314,13,Female
315,13,Female
316,15,Female
317,14,Female
318,19,Female
319,13,Female
320,15,Male
321,16,Male
322,15,Male
323,18,Male
324,13,Female
325,18,Female
326,19,Male
327,14,Male
328,13,Male
329,15,Female
330,17,Female
331,14,Male
332,16,Female
333,16,Female
334,13,Male
335,13,Female
336,14,Male
337,13,Female
338,13,Male
339,18,Male
340,14,Male
341,15,Male
342,13,Female
343,13,Female
344,14,Male
345,14,Male
346,13,Female
347,15,Female
348,17,Male
349,14,Female
350,19,Male
351,17,Female
352,15,Female
353,18,Female
354,18,Male
355,18,Female
356,13,Female
357,14,Male
358,19,Female
359,13,Male
360,18,Male
361,18,Male
362,17,Male
363,18,Male
364,15,Female
365,18,Female
366,16,Female
367,18,Female
368,16,Male
369,13,Male
370,13,Male
371,15,Male
372,17,Female
373,19,Male
374,16,Female
375,18,Female
376,13,Male
377,19,Male
378,13,Female
379,14,Female
380,19,Male
381,17,Female
382,18,Female
383,15,Female
384,19,Male
385,13,Male
386,15,Male
387,15,Female
388,15,Female
389,14,Male
390,13,Female
391,13,Male
392,17,Male
393,19,Male
394,13,Male
395,15,Female
396,19,Male
397,17,Female
398,14,Female
399,13,Female
400,19,Male
401,13,Female
402,15,Female
403,17,Male
404,17,Female
405,13,Male
406,16,Female
407,13,Male
408,16,Female
409,13,Female
410,15,Female
411,18,Female
412,15,Male
413,13,Female
414,14,Female
415,16,Female
416,16,Female
417,16,Female
418,19,Male
419,15,Male
420,15,Male
421,16,Male
422,17,Male
423,19,Male
424,14,Male
425,16,Male
426,16,Male
427,14,Male
428,15,Female
429,16,Female
430,18,Male
431,13,Female
432,13,Female
433,17,Male
434,14,Male
435,15,Female
436,17,Male
437,19,Male
438,17,Male
439,14,Male
440,13,Female
441,16,Male
442,15,Male
443,17,Female
444,16,Male
445,18,Female
446,18,Female
447,14,Male
448,14,Male
449,14,Female
450,19,Female
451,17,Female
452,13,Male
453,17,Female
454,16,Female
455,18,Female
456,18,Female
457,17,Female
458,16,Female
459,17,Female
460,13,Male
461,18,Male
462,13,Male
463,13,Male
464,19,Male
465,17,Female
466,19,Male
467,14,Female
468,18,Male
469,17,Female
470,17,Female
471,14,Male
472,18,Male
473,14,Female
474,17,Male
475,15,Male
476,18,Male
477,17,Female
478,13,Male
479,14,Male
480,16,Male
481,15,Male
482,16,Male
483,18,Male
484,16,Female
485,15,Male
486,14,Male
487,18,Female
488,15,Male
489,19,Male
490,13,Male
491,15,Male
492,18,Female
493,13,Male
494,16,Female
495,19,Male
496,16,Male
497,13,Male
498,16,Female
499,17,Male
500,15,Male
501,18,Female
502,16,Male
503,13,Male
504,15,Female
505,15,Female
506,19,Male
507,15,Female
508,17,Female
509,16,Female
510,17,Female
511,14,Male
512,17,Female
513,19,Female
514,17,Male
515,19,Female
516,19,Female
517,17,Female
518,18,Male
519,15,Male
520,14,Female
521,18,Male
522,18,Female
523,16,Male
524,18,Female
525,14,Female
526,14,Female
527,18,Male
528,13,Male
529,15,Female
530,13,Female
531,17,Female
532,17,Female
533,17,Female
534,16,Female
535,19,Female
536,13,Male
537,19,Male
538,15,Male
539,14,Male
540,16,Male
541,19,Female
542,13,Female
543,18,Female
544,17,Female
545,18,Female
546,18,Male
547,17,Male
548,17,Male
549,14,Male
550,16,Male
551,15,Female
552,18,Male
553,13,Female
554,15,Female
555,13,Female
556,13,Female
557,19,Male
558,13,Male
559,16,Female
560,14,Male
561,16,Male
562,14,Male
563,18,Female
564,15,Female
565,13,Female
566,15,Female
567,14,Male
568,15,Female
569,13,Female
570,17,Female
571,17,Female
572,19,Male
573,15,Male
574,17,Female
575,16,Female
576,18,Female
577,13,Female
578,19,Male
579,15,Female
580,13,Male
581,14,Male
582,13,Female
583,17,Female
584,17,Male
585,18,Female
586,19,Male
587,15,Female
588,13,Female
589,15,Female
590,13,Female
591,16,Female
592,19,Male
593,18,Female
594,13,Female
595,16,Male
596,15,Male
597,17,Female
598,18,Male
599,19,Male
600,16,Male
601,16,Female
602,17,Female
603,13,Male
604,16,Male
605,16,Female
606,16,Female
607,17,Male
608,14,Male
609,19,Male
610,17,Male
611,15,Male
612,18,Male
613,19,Male
614,19,Female
615,16,Male
616,13,Male
617,19,Male
618,16,Female
619,19,Female
620,13,Male
621,19,Male
622,19,Male
623,16,Female
624,14,Male
625,16,Male
626,13,Male
627,17,Female
628,16,Female
629,16,Female
630,19,Male
631,13,Male
632,13,Male
633,19,Male
634,19,Male
635,13,Male
636,18,Female
637,18,Male
638,16,Male
639,15,Female
640,19,Female
641,15,Male
642,19,Male
643,16,Female
644,17,Female
645,17,Male
646,17,Female
647,16,Female
648,13,Male
649,18,Female
650,13,Male
651,17,Female
652,15,Male
653,17,Male
654,14,Male
655,15,Male
656,17,Female
657,13,Male
658,14,Female
659,15,Female
660,14,Female
661,15,Male
662,14,Male
663,16,Male
664,13,Female
665,18,Male
666,16,Male
667,16,Female
668,17,Female
669,13,Male
670,18,Male
671,13,Female
672,14,Male
673,14,Male
674,13,Male
675,13,Female
676,19,Female
677,18,Male
678,17,Female
679,19,Male
680,13,Male
681,17,Female
682,19,Male
683,14,Male
684,15,Male
685,19,Male
686,13,Male
687,17,Female
688,19,Male
689,16,Female
690,16,Male
691,13,Male
692,15,Female
693,15,Female
694,16,Female
695,13,Female
696,15,Female
697,19,Female
698,17,Female
699,15,Male
700,14,Female
701,16,Male
702,18,Female
703,15,Female
704,18,Female
705,15,Female
706,15,Female
707,15,Male
708,14,Female
709,15,Male
710,13,Male
711,13,Male
712,15,Male
713,19,Female
714,15,Male
715,15,Female
716,13,Female
717,15,Female
718,18,Male
719,18,Female
720,17,Female
721,14,Male
722,18,Female
723,14,Female
724,13,Female
725,15,Male
726,15,Female
727,19,Female
728,18,Female
729,18,Male
730,14,Female
731,19,Female
732,18,Male
733,19,Female
734,14,Male
735,16,Female
736,16,Male
737,16,Male
738,17,Female
739,18,Male
740,13,Female
741,16,Male
742,19,Female
743,16,Female
744,13,Female
745,18,Male
746,17,Male
747,14,Female
748,16,Female
749,13,Female
750,19,Female
751,15,Male
752,14,Female
753,19,Male
754,17,Male
755,18,Female
756,13,Female
757,14,Male
758,15,Female
759,15,Male
760,18,Male
761,15,Male
762,13,Male
763,14,Female
764,18,Male
765,18,Female
766,19,Female
767,13,Male
768,15,Female
769,19,Female
770,18,Female
771,18,Male
772,13,Female
773,19,Female
774,18,Female
775,15,Male
776,14,Male
777,14,Female
778,15,Male
779,13,Female
780,15,Male
781,15,Male
782,19,Female
783,17,Male
784,17,Male
785,14,Female
786,19,Female
787,19,Female
788,16,Male
789,18,Male
790,19,Female
791,14,Female
792,15,Female
793,14,Female
794,18,Female
795,17,Male
796,18,Female
797,19,Male
798,14,Female
799,16,Male
800,16,Female
801,18,Male
802,14,Female
803,13,Female
804,15,Female
805,17,Male
806,17,Male
807,13,Female
808,14,Female
809,18,Female
810,14,Male
811,19,Male
812,14,Male
813,19,Female
814,19,Female
815,17,Male
816,17,Male
817,15,Female
818,14,Female
819,18,Male
820,18,Female
821,19,Female
822,13,Female
823,19,Male
824,19,Female
825,18,Female
826,17,Male
827,18,Male
828,14,Female
829,17,Male
830,17,Male
831,13,Male
832,16,Female
833,15,Female
834,16,Female
835,18,Male
836,13,Female
837,16,Female
838,18,Male
839,15,Male
840,18,Female
841,17,Male
842,18,Female
843,17,Female
844,15,Female
845,16,Male
846,14,Female
847,15,Male
848,15,Female
849,19,Male
850,19,Male
851,15,Female
852,19,Female
853,14,Male
854,17,Female
855,16,Male
856,18,Female
857,19,Male
858,19,Male
859,15,Male
860,14,Male
861,15,Male
862,15,Male
863,14,Male
864,17,Female
865,17,Female
866,15,Male
867,13,Male
868,18,Female
869,16,Female
870,14,Male
871,19,Male
872,17,Male
873,15,Male
874,18,Male
875,14,Female
876,18,Male
877,13,Female
878,16,Female
879,19,Female
880,15,Male
881,13,Male
882,15,Male
883,19,Female
884,16,Male
885,19,Male
886,16,Female
887,19,Female
888,16,Female
889,17,Male
890,14,Male
891,18,Male
892,16,Male
893,19,Male
894,16,Female
895,19,Male
896,16,Male
897,18,Male
898,18,Male
899,15,Male
900,18,Male
901,16,Female
902,19,Male
903,13,Male
904,17,Male
905,19,Female
906,17,Female
907,19,Male
908,17,Male
909,13,Male
910,19,Female
911,16,Male
912,13,Female
913,16,Male
914,14,Male
915,17,Male
916,14,Male
917,19,Male
918,19,Male
919,16,Female
920,15,Male
921,13,Female
922,15,Female
923,15,Female
924,17,Male
925,17,Male
926,18,Male
927,17,Male
928,14,Male
929,15,Male
930,16,Female
931,17,Male
932,18,Female
933,16,Female
934,14,Female
935,14,Female
936,13,Male
937,19,Female
938,15,Female
939,17,Male
940,17,Female
941,19,Male
942,17,Female
943,15,Female
944,15,Male
945,19,Male
946,15,Female
947,14,Female
948,15,Female
949,15,Male
950,18,Male
951,15,Male
952,17,Female
953,18,Female
954,13,Female
955,19,Male
956,15,Male
957,17,Male
958,13,Female
959,17,Female
960,16,Male
961,17,Male
962,16,Female
963,15,Male
964,18,Male
965,19,Female
966,14,Male
967,14,Female
968,16,Female
969,18,Female
970,17,Female
971,17,Male
972,15,Male
973,19,Female
974,18,Male
975,15,Male
976,15,Male
977,18,Female
978,17,Female
979,16,Male
980,18,Male
981,19,Male
982,16,Male
983,19,Female
984,18,Male
985,17,Female
986,19,Female
987,19,Male
988,18,Female
989,16,Female
990,15,Female
991,19,Female
992,15,Female
993,14,Female
994,14,Female
995,13,Male
996,13,Male
997,14,Male
998,17,Female
999,15,Male
1000,19,Female
1001,14,Female
1002,15,Female
1003,15,Female
1004,16,Female
1005,17,Male
1006,15,Female
1007,17,Male
1008,18,Male
1009,14,Male
1010,18,Female
1011,16,Female
1012,18,Female
1013,13,Male
1014,13,Male
1015,18,Male
1016,19,Female
1017,18,Female
1018,16,Male
1019,16,Female
1020,17,Female
1021,18,Female
1022,18,Male
1023,15,Male
1024,16,Male
1025,13,Male
1026,18,Male
1027,19,Male
1028,18,Female
1029,15,Male
1030,14,Female
1031,16,Female
1032,13,Female
1033,16,Female
1034,15,Female
1035,19,Female
1036,15,Male
1037,18,Female
1038,14,Female
1039,17,Female
1040,13,Male
1041,19,Female
1042,18,Male
1043,18,Male
1044,14,Female
1045,13,Male
1046,17,Female
1047,13,Male
1048,15,Female
1049,15,Male
1050,17,Male
1051,16,Male
1052,17,Female
1053,15,Female
1054,19,Female
1055,13,Male
1056,15,Male
1057,19,Male
1058,13,Female
1059,13,Female
1060,13,Female
1061,13,Female
1062,16,Male
1063,13,Male
1064,18,Female
1065,18,Female
1066,18,Male
1067,17,Female
1068,14,Female
1069,14,Male
1070,13,Female
1071,15,Female
1072,16,Female
1073,16,Male
1074,15,Male
1075,16,Male
1076,15,Male
1077,18,Male
1078,14,Female
1079,15,Female
1080,16,Female
1081,16,Male
1082,17,Female
1083,14,Female
1084,17,Male
1085,18,Male
1086,13,Female
1087,14,Female
1088,18,Male
1089,19,Male
1090,13,Female
1091,16,Female
1092,13,Male
1093,14,Female
1094,19,Male
1095,17,Male
1096,16,Male
1097,13,Male
1098,16,Female
1099,14,Female
1100,15,Female
1101,15,Female
1102,17,Male
1103,16,Female
1104,17,Male
1105,13,Male
1106,19,Female
1107,15,Female
1108,14,Female
1109,13,Female
1110,19,Male
1111,13,Female
1112,19,Female
1113,14,Male
1114,13,Female
1115,18,Male
1116,13,Female
1117,16,Male
1118,18,Female
1119,16,Male
1120,18,Male
1121,16,Male
1122,18,Female
1123,18,Female
1124,18,Female
1125,17,Male
1126,14,Female
1127,17,Male
1128,13,Male
1129,16,Male
1130,19,Male
1131,13,Female
1132,14,Male
1133,18,Female
1134,15,Female
1135,18,Female
1136,14,Female
1137,15,Male
1138,14,Male
1139,14,Female
1140,15,Female
1141,14,Female
1142,15,Female
1143,19,Female
1144,17,Male
1145,13,Female
1146,18,Female
1147,19,Female
1148,19,Male
1149,13,Female
1150,15,Male
1151,14,Female
1152,17,Female
1153,15,Female
1154,15,Female
1155,17,Male
1156,13,Female
1157,15,Female
1158,13,Female
1159,16,Male
1160,19,Female
1161,13,Female
1162,13,Female
1163,16,Female
1164,19,Male
1165,15,Female
1166,18,Female
1167,17,Female
1168,13,Male
1169,16,Male
1170,18,Male
1171,16,Male
1172,14,Female
1173,18,Female
1174,17,Male
1175,13,Male
1176,17,Female
1177,13,Male
1178,15,Male
1179,19,Female
1180,16,Male
1181,13,Female
1182,18,Male
1183,15,Male
1184,19,Female
1185,19,Male
1186,19,Male
1187,18,Male
1188,18,Male
1189,17,Female
1190,14,Female
1191,17,Female
1192,19,Male
1193,13,Male
1194,13,Female
1195,17,Male
1196,18,Female
1197,16,Male
1198,14,Female
1199,15,Male
1200,16,Female
