adolescente_id,daily_social_media_hours,platform_usage,screen_time_before_sleep
185,1.4,Instagram,2.4
186,6.6,Instagram,2.2
187,3.5,Instagram,0.8
188,5.4,Both,2.8
189,4.2,Both,1.1
190,2.5,Instagram,1.6
191,3.8,TikTok,3.0
192,1.8,Instagram,1.2
193,5.4,Instagram,1.8
194,7.7,Instagram,0.8
195,4.1,Instagram,1.7
196,6.6,Both,3.0
197,2.3,Both,0.8
198,7.5,Instagram,2.9
199,7.1,Instagram,2.9
200,1.7,Both,1.5
201,7.9,Instagram,0.8
202,4.0,Instagram,1.9
203,1.2,TikTok,2.0
204,3.5,TikTok,1.7
205,1.1,Instagram,2.0
206,1.6,TikTok,1.6
207,2.5,TikTok,2.9
208,2.8,Instagram,1.8
209,2.2,Instagram,1.4
210,4.8,Both,1.0
211,3.7,Both,2.7
212,5.5,Instagram,2.3
213,2.5,Instagram,1.0
214,1.9,TikTok,1.7
215,5.9,Instagram,1.4
216,6.5,TikTok,0.6
217,7.5,Instagram,2.5
218,4.9,TikTok,2.9
219,2.2,TikTok,1.4
220,5.8,Both,0.7
221,1.3,Instagram,0.9
222,2.8,TikTok,1.7
223,4.0,TikTok,2.4
224,1.7,TikTok,1.6
225,1.4,TikTok,1.6
226,2.3,TikTok,3.0
227,3.8,Instagram,1.0
228,6.4,TikTok,2.5
229,6.0,Both,0.9
230,1.9,Instagram,2.1
231,2.4,TikTok,2.4
232,2.7,Instagram,2.4
233,1.5,Both,1.7
234,7.7,Instagram,1.8
235,2.9,TikTok,2.2
236,7.6,TikTok,2.7
237,5.7,Both,2.4
238,1.2,TikTok,1.5
239,2.4,Both,1.6
240,6.2,Both,2.0
241,4.7,Instagram,2.2
242,5.3,Instagram,0.7
243,6.0,TikTok,0.7
244,7.8,TikTok,2.1
245,4.4,Both,2.6
246,6.7,Instagram,2.4
247,7.2,TikTok,2.2
248,6.1,Both,2.1
249,5.4,TikTok,1.9
250,2.7,Both,0.7
251,7.9,Instagram,1.5
252,4.6,TikTok,1.6
253,5.6,Instagram,1.9
254,6.5,TikTok,0.7
255,5.9,Both,0.9
256,1.1,TikTok,2.2
257,3.2,TikTok,1.2
258,6.5,Instagram,2.7
259,7.3,Instagram,1.0
260,1.5,TikTok,1.7
261,3.8,Instagram,2.4
262,3.6,TikTok,2.8
263,3.6,TikTok,2.9
264,5.3,Instagram,1.2
265,4.4,TikTok,0.8
266,7.7,TikTok,1.4
267,7.1,TikTok,2.4
268,4.9,Instagram,1.0
269,4.6,Both,1.9
270,1.8,Instagram,2.6
271,4.2,Both,1.0
272,1.5,TikTok,0.5
273,7.0,Instagram,2.8
274,6.5,Both,1.5
275,4.3,Instagram,2.1
276,7.2,Both,2.5
277,7.0,Both,1.9
278,3.8,Both,1.7
279,3.0,Instagram,2.3
280,7.0,TikTok,1.1
281,4.6,TikTok,2.3
282,3.4,Both,2.6
283,3.5,TikTok,2.7
284,4.4,Both,2.7
285,1.8,Both,2.2
286,3.9,Both,1.0
287,4.4,TikTok,1.0
288,2.0,Instagram,1.9
289,7.2,TikTok,2.5
290,4.4,Both,0.9
291,7.2,TikTok,1.4
292,5.4,Instagram,0.8
293,1.5,TikTok,1.3
294,1.8,Instagram,2.8
295,3.7,TikTok,0.7
296,6.4,Both,1.3
297,6.4,Both,2.4
298,1.1,Instagram,2.9
299,1.3,TikTok,2.6
300,4.4,Instagram,1.2
301,7.8,Instagram,1.8
302,6.9,TikTok,0.9
303,4.8,Instagram,0.8
304,7.5,Instagram,1.9
305,6.7,Instagram,2.2
306,3.8,Instagram,1.9
307,3.0,Instagram,1.5
308,7.8,TikTok,0.8
309,7.8,Instagram,2.6
310,6.6,TikTok,1.5
311,7.3,Instagram,2.3
312,6.6,Instagram,1.1
313,5.6,TikTok,3.0
314,8.0,Instagram,2.8
315,1.3,Instagram,2.6
316,5.9,Both,1.4
317,2.0,Instagram,0.9
318,1.4,Instagram,1.8
319,6.4,Both,0.8
320,7.6,TikTok,0.8
321,7.9,Both,0.6
322,5.1,Instagram,2.8
323,6.4,TikTok,1.5
324,7.2,Both,0.9
325,2.9,Both,2.3
326,1.5,Instagram,2.7
327,5.4,Both,1.8
328,7.2,TikTok,1.3
329,7.0,Instagram,1.3
330,7.5,TikTok,1.1
331,1.4,Both,1.8
332,6.1,Instagram,1.4
333,1.4,Both,1.7
334,5.4,Instagram,2.0
335,2.1,Instagram,0.9
336,5.0,Both,1.1
337,4.4,Instagram,1.9
338,3.4,Both,0.8
339,1.2,Instagram,1.3
340,5.5,TikTok,1.4
341,2.3,Both,3.0
342,1.4,Both,0.5
343,3.0,Instagram,0.9
344,2.8,Instagram,2.5
345,7.0,TikTok,1.0
346,1.6,Both,1.4
347,4.2,Instagram,1.2
348,4.9,Instagram,3.0
349,3.6,Instagram,2.9
350,1.8,TikTok,2.3
351,2.7,Instagram,2.6
352,1.2,Instagram,1.0
353,6.2,Both,1.4
354,1.6,TikTok,1.9
355,5.1,TikTok,1.3
356,5.2,TikTok,2.8
357,4.1,TikTok,2.0
358,5.4,TikTok,2.3
359,2.4,TikTok,1.6
360,1.7,Both,1.4
361,6.0,Both,0.9
362,7.2,Both,0.8
363,3.5,TikTok,2.9
364,3.8,Instagram,1.9
365,4.5,Both,1.5
366,7.3,Both,0.5
367,6.4,Instagram,0.5
368,5.3,TikTok,2.2
369,2.4,Instagram,0.7
370,8.0,Both,2.2
371,7.3,Both,2.3
372,4.5,Both,0.9
373,5.0,Both,2.4
374,5.7,Both,1.4
375,2.9,Instagram,2.6
376,7.9,Instagram,2.3
377,4.8,TikTok,2.6
378,3.0,Both,1.0
379,4.1,Both,2.0
380,6.9,Instagram,1.2
381,3.2,Instagram,2.2
382,1.3,Both,0.9
383,4.2,TikTok,1.1
384,6.6,Both,2.1
385,7.5,TikTok,0.7
386,7.0,Both,3.0
387,6.7,Both,0.6
388,2.3,Instagram,2.9
389,5.3,Both,2.8
390,2.7,TikTok,1.5
391,5.4,Instagram,1.8
392,7.2,Instagram,1.9
393,1.5,TikTok,2.5
394,4.0,Both,0.5
395,4.2,Both,2.1
396,1.8,TikTok,2.2
397,3.3,Instagram,1.1
398,1.0,Both,1.4
399,1.2,TikTok,2.8
400,2.0,Instagram,1.3
401,7.1,Both,1.6
402,5.5,TikTok,1.5
403,7.7,TikTok,2.8
404,7.6,Instagram,2.0
405,8.0,Instagram,2.5
406,4.3,Instagram,1.4
407,3.8,Both,2.5
408,2.9,TikTok,3.0
409,5.3,TikTok,1.1
410,5.7,Instagram,2.4
411,2.8,Instagram,1.0
412,2.8,TikTok,2.9
413,1.1,Instagram,1.9
414,2.0,Both,2.6
415,6.5,TikTok,1.8
416,7.5,TikTok,1.3
417,3.1,Instagram,1.2
418,5.9,Both,2.3
419,7.9,TikTok,0.7
420,5.1,Instagram,0.7
421,1.9,Both,2.1
422,8.0,Instagram,1.5
423,2.9,Both,0.5
424,4.3,Instagram,0.9
425,1.1,Instagram,3.0
426,4.9,Instagram,1.2
427,6.1,Both,1.4
428,2.7,Both,1.6
429,7.8,Both,0.7
430,4.2,TikTok,1.4
431,4.4,Instagram,2.7
432,1.4,Both,0.6
433,3.7,TikTok,0.6
434,3.8,Instagram,1.9
435,5.4,TikTok,1.8
436,4.0,Both,1.8
437,3.5,TikTok,1.8
438,1.3,Both,1.0
439,5.6,Instagram,0.9
440,2.4,Instagram,0.6
441,2.0,Both,2.8
442,6.6,Instagram,1.5
443,2.3,TikTok,2.4
444,6.4,TikTok,1.4
445,3.5,Both,1.3
446,1.7,Instagram,1.0
447,4.1,Instagram,1.7
448,3.3,Instagram,0.8
449,5.0,TikTok,2.6
450,1.5,Instagram,3.0
451,3.3,TikTok,2.1
452,6.4,Both,1.3
453,8.0,Instagram,1.2
454,1.0,Both,1.3
455,4.2,Instagram,1.1
456,4.6,TikTok,2.8
457,2.8,Both,2.4
458,6.3,Instagram,1.3
459,7.2,TikTok,1.3
460,4.5,Both,2.2
461,5.3,Both,1.2
462,5.2,TikTok,2.5
463,7.9,TikTok,2.7
464,6.9,TikTok,1.5
465,5.8,Instagram,2.9
466,7.0,Instagram,2.1
467,3.0,TikTok,2.7
468,6.3,Both,1.7
469,5.5,Instagram,2.6
470,2.2,Both,2.2
471,1.4,Both,1.4
472,4.5,Instagram,1.9
473,6.1,Instagram,2.0
474,3.3,TikTok,2.0
475,5.2,Both,1.1
476,5.0,Both,1.3
477,1.8,TikTok,1.9
478,2.3,TikTok,0.7
479,2.7,Both,0.6
480,7.4,TikTok,1.7
481,6.2,TikTok,1.1
482,2.3,TikTok,1.0
483,1.8,TikTok,1.4
484,1.3,Instagram,2.6
485,2.1,Instagram,2.1
486,3.9,Instagram,1.4
487,3.8,Both,1.3
488,6.4,Instagram,0.7
489,3.2,Instagram,2.6
490,4.4,Both,1.5
491,1.3,TikTok,1.3
492,5.7,TikTok,0.5
493,4.0,TikTok,2.9
494,4.8,Instagram,1.4
495,5.8,Both,1.9
496,5.8,Both,1.1
497,3.2,TikTok,1.6
498,5.2,Both,2.4
499,2.4,TikTok,0.7
500,7.4,Both,2.6
501,7.1,Instagram,2.1
502,6.5,TikTok,1.9
503,7.4,Both,1.8
504,3.9,Instagram,1.7
505,4.6,Both,2.0
506,1.5,TikTok,1.0
507,5.8,Instagram,1.1
508,6.4,TikTok,2.1
509,2.1,TikTok,2.4
510,2.2,TikTok,3.0
511,5.5,TikTok,2.9
512,6.6,Both,2.2
513,5.2,Instagram,1.6
514,4.7,TikTok,2.0
515,7.1,Both,2.2
516,4.2,Both,1.4
517,1.3,Instagram,2.2
518,2.6,Both,1.9
519,6.2,Instagram,2.3
520,6.2,TikTok,1.5
521,4.8,TikTok,2.8
522,3.0,Both,2.0
523,4.7,Instagram,2.7
524,4.4,Both,1.4
525,2.3,TikTok,2.3
526,3.1,Instagram,1.9
527,2.9,TikTok,0.6
528,1.8,Instagram,0.6
529,2.0,Instagram,1.3
530,4.2,Instagram,2.7
531,6.7,Both,1.4
532,2.2,Both,0.5
533,1.1,TikTok,0.6
534,6.4,TikTok,2.8
535,2.8,Instagram,1.5
536,2.2,Both,2.0
537,5.7,Instagram,2.2
538,5.3,Both,1.9
539,3.1,TikTok,1.5
540,1.7,TikTok,0.6
541,6.7,Instagram,2.8
542,7.8,Instagram,1.7
543,2.1,Both,0.9
544,5.1,TikTok,1.9
545,3.6,Instagram,0.9
546,5.0,Both,2.0
547,1.7,Both,0.9
548,6.8,Instagram,0.6
549,3.8,Both,0.5
550,2.1,Instagram,1.1
551,3.2,Instagram,2.0
552,1.9,Instagram,2.3
553,3.5,Instagram,1.5
554,4.5,Instagram,0.9
555,6.0,TikTok,2.5
556,3.6,TikTok,2.2
557,5.2,TikTok,2.3
558,2.7,Both,1.4
559,2.8,TikTok,1.4
560,5.6,Instagram,1.9
561,2.7,Both,0.6
562,4.2,Both,1.1
563,5.1,TikTok,2.8
564,5.7,Instagram,0.7
565,1.5,Both,1.8
566,6.9,TikTok,2.4
567,4.7,TikTok,2.9
568,2.7,Both,0.8
569,6.1,Both,2.8
570,5.0,TikTok,1.9
571,5.3,Both,1.9
572,7.2,TikTok,2.9
573,2.3,Both,2.8
574,7.3,Both,1.1
575,1.5,Instagram,0.7
576,2.2,Instagram,1.9
577,5.5,Both,1.6
578,2.1,TikTok,2.5
579,4.5,Both,1.2
580,3.9,Both,0.7
581,5.8,Instagram,2.6
582,7.2,Both,2.5
583,2.9,Both,1.4
584,6.2,Instagram,0.6
585,1.1,Both,2.6
586,5.2,Instagram,1.3
587,5.0,Instagram,1.8
588,2.3,TikTok,1.2
589,5.2,TikTok,1.5
590,3.5,Both,1.4
591,3.5,Both,1.5
592,7.7,Instagram,2.6
593,2.0,Both,2.2
594,5.1,TikTok,2.7
595,2.0,Instagram,2.4
596,4.7,Instagram,1.9
597,6.9,TikTok,2.4
598,5.9,Instagram,2.7
599,2.7,Instagram,1.3
600,7.9,TikTok,1.6
601,7.4,TikTok,1.8
602,2.3,Instagram,1.7
603,7.1,Both,2.1
604,6.9,Instagram,1.1
605,5.6,TikTok,2.0
606,5.2,TikTok,2.1
607,4.5,Both,0.5
608,3.6,TikTok,1.4
609,7.2,Instagram,2.2
610,6.4,TikTok,2.3
611,7.1,Both,0.7
612,1.2,Both,1.1
613,6.6,TikTok,0.9
614,6.5,TikTok,1.1
615,2.0,TikTok,0.7
616,2.5,Instagram,0.8
617,2.1,Instagram,2.3
618,7.1,TikTok,1.8
619,6.8,Both,2.1
620,5.2,Both,0.8
621,7.0,TikTok,2.3
622,6.8,TikTok,2.0
623,3.8,TikTok,1.5
624,2.9,Instagram,2.0
625,3.6,Instagram,0.7
626,4.0,Both,0.6
627,7.5,Both,2.1
628,6.0,Both,1.5
629,3.6,Instagram,2.8
630,4.7,Both,1.2
631,2.0,Instagram,0.9
632,7.8,TikTok,1.3
633,5.9,TikTok,0.7
634,7.7,TikTok,2.8
635,2.2,TikTok,1.2
636,7.7,TikTok,2.9
637,3.2,Instagram,1.5
638,2.0,TikTok,0.5
639,6.2,Both,1.0
640,2.4,Instagram,1.6
641,3.4,Both,1.0
642,6.0,Instagram,0.9
643,5.3,Both,2.5
644,5.5,Instagram,0.8
645,3.6,Both,2.8
646,3.7,Instagram,1.3
647,7.4,Instagram,0.9
648,5.3,Instagram,1.0
649,4.8,Instagram,1.8
650,3.4,TikTok,0.5
651,7.0,TikTok,0.6
652,5.4,Instagram,1.2
653,5.3,Instagram,2.9
654,1.8,Both,2.7
655,4.5,TikTok,2.8
656,5.4,TikTok,2.5
657,3.6,Instagram,0.7
658,5.7,Instagram,0.7
659,5.5,Both,2.5
660,5.3,Both,1.1
661,2.7,Instagram,1.6
662,6.4,Instagram,0.8
663,5.0,TikTok,3.0
664,2.5,Instagram,1.6
665,2.2,Both,2.0
666,4.1,Both,1.9
667,2.8,TikTok,2.0
668,1.1,TikTok,2.7
669,7.0,Both,1.6
670,2.6,TikTok,2.3
671,2.6,TikTok,1.4
672,3.4,Instagram,2.0
673,7.9,Instagram,1.6
674,5.1,TikTok,2.6
675,2.8,Both,1.4
676,3.4,TikTok,0.7
677,6.3,Both,1.0
678,1.1,TikTok,2.5
679,3.8,Instagram,2.5
680,2.1,Instagram,1.6
681,6.2,Both,2.4
682,6.8,Instagram,2.1
683,5.2,Instagram,1.6
684,3.7,Both,0.9
685,2.4,Both,1.8
686,2.1,TikTok,2.7
687,2.6,TikTok,0.7
688,6.5,Instagram,1.5
689,3.4,Instagram,1.8
690,1.7,Both,1.4
691,5.6,Both,2.9
692,8.0,Both,1.3
693,5.7,Instagram,1.3
694,4.0,TikTok,2.7
695,3.5,Instagram,1.7
696,4.2,TikTok,1.3
697,3.9,TikTok,2.5
698,6.7,Instagram,0.6
699,6.7,Both,1.8
700,3.4,Instagram,1.7
701,5.0,TikTok,0.7
702,3.8,Instagram,1.0
703,7.3,TikTok,2.8
704,7.2,TikTok,1.4
705,3.1,Both,2.1
706,8.0,Instagram,0.7
707,4.3,Instagram,1.1
708,4.0,TikTok,1.1
709,6.9,TikTok,1.4
710,7.0,TikTok,0.9
711,6.2,Instagram,1.8
712,7.7,Instagram,1.3
713,5.1,Both,2.3
714,1.0,TikTok,2.0
715,1.1,Instagram,1.8
716,7.0,Instagram,1.2
717,2.7,Both,1.8
718,2.5,Instagram,1.4
719,2.3,TikTok,0.9
720,2.7,TikTok,1.6
721,3.2,Instagram,2.6
722,3.8,Both,2.3
723,4.1,TikTok,2.4
724,2.3,TikTok,1.4
725,8.0,Instagram,0.6
726,2.9,TikTok,0.7
727,4.4,Both,2.8
728,3.1,Both,2.0
729,7.9,TikTok,2.0
730,1.2,Both,2.2
731,4.0,Both,2.7
732,1.0,Instagram,0.8
733,7.9,Instagram,2.4
734,6.2,TikTok,0.7
735,2.5,Instagram,2.3
736,4.7,Both,2.6
737,6.3,Instagram,1.0
738,7.5,TikTok,2.3
739,2.0,TikTok,1.5
740,6.3,Instagram,1.6
741,6.6,Both,2.0
742,3.6,Both,1.7
743,3.2,Both,2.5
744,3.1,Instagram,1.6
745,6.7,Instagram,1.9
746,6.6,TikTok,0.7
747,7.0,Instagram,1.6
748,4.8,Both,2.1
749,5.8,Instagram,1.1
750,6.0,Both,2.8
751,4.0,Both,1.8
752,5.8,Both,2.6
753,5.2,Instagram,1.3
754,2.9,Both,1.5
755,7.5,TikTok,1.4
756,5.8,Instagram,1.2
757,7.6,Instagram,1.9
758,1.3,TikTok,0.6
759,3.7,Both,1.3
760,3.6,Instagram,2.5
761,6.4,TikTok,2.9
762,6.0,TikTok,2.6
763,1.3,TikTok,1.9
764,3.7,Instagram,1.4
765,8.0,TikTok,0.8
766,4.1,Both,2.7
767,3.9,Both,1.5
768,6.4,Instagram,1.6
769,1.3,TikTok,2.1
770,5.0,Instagram,1.8
771,5.5,Both,1.4
772,7.6,Instagram,3.0
773,6.3,Both,2.3
774,2.0,Instagram,2.9
775,4.0,TikTok,1.9
776,4.9,Instagram,1.6
777,6.9,TikTok,1.6
778,5.4,TikTok,1.8
779,3.8,Both,2.5
780,7.8,Both,0.6
781,3.5,Both,1.8
782,5.4,Instagram,2.0
783,3.8,Both,2.0
784,8.0,Instagram,2.2
785,3.7,TikTok,1.7
786,5.0,Instagram,2.9
787,4.2,Instagram,2.5
788,4.6,Instagram,1.5
789,5.5,Instagram,0.9
790,1.8,Instagram,2.8
791,6.6,TikTok,1.8
792,4.4,TikTok,0.9
793,4.7,TikTok,2.1
794,7.1,Instagram,0.6
795,4.0,Both,1.0
796,5.5,Instagram,2.6
797,5.6,TikTok,1.4
798,3.7,Both,1.7
799,1.8,TikTok,2.3
800,7.6,TikTok,2.8
801,5.7,TikTok,2.5
802,6.1,Instagram,2.7
803,6.0,Instagram,0.6
804,3.1,TikTok,2.4
805,7.6,Instagram,2.0
806,6.0,Both,2.7
807,3.5,Instagram,2.7
808,1.3,TikTok,1.4
809,2.8,TikTok,2.9
810,3.9,Both,0.8
811,3.9,Both,2.8
812,7.4,Instagram,2.4
813,5.4,TikTok,1.7
814,6.6,Both,0.8
815,5.9,Instagram,1.7
816,3.3,Both,1.8
817,2.8,Instagram,1.0
818,7.3,TikTok,2.5
819,2.8,Instagram,2.3
820,7.2,TikTok,1.2
821,7.1,TikTok,0.8
822,4.3,TikTok,0.9
823,1.6,Both,1.4
824,1.4,Both,2.5
825,3.2,Instagram,2.3
826,1.5,Both,0.5
827,7.5,TikTok,2.6
828,3.5,Instagram,0.7
829,4.4,Both,2.7
830,4.6,TikTok,2.5
831,5.9,TikTok,2.6
832,7.8,TikTok,1.1
833,4.8,TikTok,1.9
834,7.4,TikTok,1.0
835,2.7,Instagram,1.2
836,5.3,TikTok,1.1
837,3.6,Both,2.4
838,2.5,Both,2.1
839,4.5,Both,1.5
840,1.9,Both,2.9
841,3.8,Instagram,0.7
842,3.9,Both,1.8
843,1.1,Both,2.1
844,3.9,Both,1.1
845,8.0,Instagram,2.5
846,1.2,TikTok,2.3
847,2.2,Instagram,0.9
848,4.2,TikTok,1.4
849,6.0,Both,1.1
850,5.4,Instagram,0.6
851,2.7,TikTok,2.5
852,1.9,Both,0.9
853,1.5,Both,0.8
854,2.6,TikTok,0.7
855,1.2,Instagram,1.0
856,1.8,Both,2.0
857,4.8,Both,1.0
858,2.1,Both,2.4
859,4.4,Instagram,0.5
860,2.8,Both,3.0
861,3.5,TikTok,2.7
862,6.8,Both,2.1
863,7.0,Instagram,1.4
864,7.5,Both,2.8
865,2.5,Instagram,2.0
866,6.5,TikTok,2.1
867,7.7,Instagram,2.0
868,3.2,Both,0.7
869,5.3,TikTok,1.5
870,5.0,TikTok,0.5
871,6.1,Instagram,2.3
872,4.2,TikTok,2.6
873,4.7,Instagram,2.3
874,1.6,TikTok,0.6
875,1.7,TikTok,2.7
876,4.6,Instagram,1.4
877,2.5,TikTok,2.8
878,4.2,TikTok,1.2
879,1.2,TikTok,1.7
880,2.7,Instagram,2.9
881,1.5,Both,0.8
882,3.2,Instagram,0.7
883,7.3,Both,1.5
884,2.0,Instagram,1.0
885,2.5,TikTok,1.9
886,7.7,Instagram,2.9
887,3.9,Both,2.1
888,3.5,TikTok,2.7
889,4.9,Instagram,2.5
890,3.4,Both,3.0
891,2.5,TikTok,2.2
892,4.8,Both,0.9
893,7.4,TikTok,1.1
894,2.1,Instagram,1.3
895,2.1,TikTok,2.2
896,1.8,Instagram,2.3
897,6.8,Both,0.9
898,7.9,Instagram,2.8
899,7.6,Both,2.9
900,6.1,TikTok,1.8
901,1.4,Both,1.8
902,6.3,TikTok,1.4
903,1.3,Instagram,1.1
904,5.1,TikTok,2.9
905,4.0,Instagram,1.4
906,7.6,Instagram,1.9
907,3.8,TikTok,2.6
908,5.2,Instagram,2.4
909,5.0,Both,0.7
910,7.4,Both,1.4
911,6.1,TikTok,0.8
912,7.4,Both,2.0
913,3.5,Both,1.5
914,5.1,Instagram,1.6
915,4.8,TikTok,2.1
916,7.5,Both,2.8
917,4.7,Both,2.0
918,3.3,TikTok,1.2
919,6.9,Instagram,0.6
920,5.4,Instagram,1.5
921,5.2,Both,2.7
922,3.3,Instagram,1.3
923,7.3,Both,1.9
924,7.6,Both,0.6
925,1.7,Both,0.8
926,1.5,Both,2.9
927,7.3,Both,1.5
928,2.8,Both,1.2
929,1.2,Both,2.7
930,2.5,TikTok,1.2
931,4.8,TikTok,1.6
932,6.4,Both,1.1
933,6.6,Instagram,1.7
934,3.5,Both,2.4
935,2.4,TikTok,2.8
936,5.9,Instagram,0.8
937,7.4,Instagram,2.0
938,4.6,TikTok,3.0
939,7.3,Instagram,2.9
940,2.9,TikTok,0.9
941,5.3,TikTok,0.6
942,7.2,TikTok,2.9
943,2.6,Both,1.8
944,3.6,Instagram,1.0
945,3.6,Instagram,1.1
946,1.8,Instagram,1.6
947,1.8,Instagram,1.2
948,7.4,Both,1.9
949,4.8,Both,2.2
950,2.4,Both,1.0
951,5.4,TikTok,0.6
952,3.5,Both,2.2
953,3.0,Instagram,2.0
954,3.3,Both,0.9
955,5.5,TikTok,2.7
956,3.8,Both,2.6
957,5.7,TikTok,2.0
958,4.7,TikTok,1.1
959,4.0,Instagram,0.6
960,5.3,TikTok,0.7
961,3.8,Instagram,1.2
962,6.0,Both,2.4
963,2.2,Both,1.3
964,4.3,TikTok,2.1
965,7.5,TikTok,2.7
966,5.3,Instagram,2.9
967,7.0,Instagram,2.1
968,2.1,Both,2.0
969,7.3,Both,2.8
